timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680256782583,731,https://www.google.com/complete/search?q=p&cp=1&client=gws-wiz-serp&xssi=t&hl=fr-TN&authuser=0&pq=google&psi=VqUmZILfJemrkdUP7PyLkAk.1680254295265&dpr=1.25,200,OK,Thread Group 1-1,text,true,,2798,755,1,1,https://www.google.com/complete/search?q=p&pq=google&hl=fr-TN&psi=VqUmZILfJemrkdUP7PyLkAk.1680254295265&dpr=1.25&client=gws-wiz-serp&xssi=t&cp=1&authuser=0,725,0,633
1680256783321,96,https://www.google.com/complete/search?q=ph&cp=2&client=gws-wiz-serp&xssi=t&hl=fr-TN&authuser=0&pq=google&psi=VqUmZILfJemrkdUP7PyLkAk.1680254295265&dpr=1.25,200,OK,Thread Group 1-1,text,true,,2831,756,1,1,https://www.google.com/complete/search?q=ph&pq=google&hl=fr-TN&psi=VqUmZILfJemrkdUP7PyLkAk.1680254295265&dpr=1.25&client=gws-wiz-serp&xssi=t&cp=2&authuser=0,95,0,0
1680256783418,90,https://www.google.com/complete/search?q=pha&cp=3&client=gws-wiz-serp&xssi=t&hl=fr-TN&authuser=0&pq=google&psi=VqUmZILfJemrkdUP7PyLkAk.1680254295265&dpr=1.25,200,OK,Thread Group 1-1,text,true,,2657,757,1,1,https://www.google.com/complete/search?q=pha&pq=google&hl=fr-TN&psi=VqUmZILfJemrkdUP7PyLkAk.1680254295265&dpr=1.25&client=gws-wiz-serp&xssi=t&cp=3&authuser=0,89,0,0
1680256783509,1393,https://www.google.com/search?q=pharmashop&rlz=1C1PNJJ_frTN1050TN1050&sxsrf=APwXEdcSiZBW1PpYTEzwUR_yEox7_u6fbg%3A1680254294624&ei=VqUmZILfJemrkdUP7PyLkAk&oq=pha&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAxgAMgQIIxAnMgoIABCKBRCxAxBDMg0IABCKBRCxAxDJAxBDMggIABCABBCSAzIICAAQgAQQkgMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwguEIoFEEM6BwgjEOoCECc6DQguEMcBENEDEOoCECc6DwgAEIoFEOoCELQCEEMYAToPCC4QigUQ6gIQtAIQQxgBOgsIABCABBCxAxCDAToICC4QgAQQsQM6CwgAEIoFELEDEIMBSgQIQRgAUABY8N0CYMzpAmgCcAF4AIABYIgBhQKSAQEzmAEAoAEBsAEUwAEB2gEGCAEQARgB&sclient=gws-wiz-serp,200,OK,Thread Group 1-1,text,true,,399929,3498,1,1,https://www.google.com/search?q=pharmashop&rlz=1C1PNJJ_frTN1050TN1050&sclient=gws-wiz-serp&oq=pha&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAxgAMgQIIxAnMgoIABCKBRCxAxBDMg0IABCKBRCxAxDJAxBDMggIABCABBCSAzIICAAQgAQQkgMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwguEIoFEEM6BwgjEOoCECc6DQguEMcBENEDEOoCECc6DwgAEIoFEOoCELQCEEMYAToPCC4QigUQ6gIQtAIQQxgBOgsIABCABBCxAxCDAToICC4QgAQQsQM6CwgAEIoFELEDEIMBSgQIQRgAUABY8N0CYMzpAmgCcAF4AIABYIgBhQKSAQEzmAEAoAEBsAEUwAEB2gEGCAEQARgB&ei=VqUmZILfJemrkdUP7PyLkAk&sxsrf=APwXEdcSiZBW1PpYTEzwUR_yEox7_u6fbg%3A1680254294624,192,0,0
1680256783509,1188,https://www.google.com/search?q=pharmashop&rlz=1C1PNJJ_frTN1050TN1050&sxsrf=APwXEdcSiZBW1PpYTEzwUR_yEox7_u6fbg%3A1680254294624&ei=VqUmZILfJemrkdUP7PyLkAk&oq=pha&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAxgAMgQIIxAnMgoIABCKBRCxAxBDMg0IABCKBRCxAxDJAxBDMggIABCABBCSAzIICAAQgAQQkgMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwguEIoFEEM6BwgjEOoCECc6DQguEMcBENEDEOoCECc6DwgAEIoFEOoCELQCEEMYAToPCC4QigUQ6gIQtAIQQxgBOgsIABCABBCxAxCDAToICC4QgAQQsQM6CwgAEIoFELEDEIMBSgQIQRgAUABY8N0CYMzpAmgCcAF4AIABYIgBhQKSAQEzmAEAoAEBsAEUwAEB2gEGCAEQARgB&sclient=gws-wiz-serp-0,200,OK,Thread Group 1-1,text,true,,394525,1305,1,1,https://www.google.com/search?q=pharmashop&rlz=1C1PNJJ_frTN1050TN1050&sclient=gws-wiz-serp&oq=pha&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAxgAMgQIIxAnMgoIABCKBRCxAxBDMg0IABCKBRCxAxDJAxBDMggIABCABBCSAzIICAAQgAQQkgMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwguEIoFEEM6BwgjEOoCECc6DQguEMcBENEDEOoCECc6DwgAEIoFEOoCELQCEEMYAToPCC4QigUQ6gIQtAIQQxgBOgsIABCABBCxAxCDAToICC4QgAQQsQM6CwgAEIoFELEDEIMBSgQIQRgAUABY8N0CYMzpAmgCcAF4AIABYIgBhQKSAQEzmAEAoAEBsAEUwAEB2gEGCAEQARgB&ei=VqUmZILfJemrkdUP7PyLkAk&sxsrf=APwXEdcSiZBW1PpYTEzwUR_yEox7_u6fbg%3A1680254294624,192,0,0
1680256784767,46,https://www.google.com/search?q=pharmashop&rlz=1C1PNJJ_frTN1050TN1050&sxsrf=APwXEdcSiZBW1PpYTEzwUR_yEox7_u6fbg%3A1680254294624&ei=VqUmZILfJemrkdUP7PyLkAk&oq=pha&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAxgAMgQIIxAnMgoIABCKBRCxAxBDMg0IABCKBRCxAxDJAxBDMggIABCABBCSAzIICAAQgAQQkgMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwguEIoFEEM6BwgjEOoCECc6DQguEMcBENEDEOoCECc6DwgAEIoFEOoCELQCEEMYAToPCC4QigUQ6gIQtAIQQxgBOgsIABCABBCxAxCDAToICC4QgAQQsQM6CwgAEIoFELEDEIMBSgQIQRgAUABY8N0CYMzpAmgCcAF4AIABYIgBhQKSAQEzmAEAoAEBsAEUwAEB2gEGCAEQARgB&sclient=gws-wiz-serp-1,200,OK,Thread Group 1-1,bin,true,,4483,1120,1,1,https://www.google.com/images/branding/googlelogo/2x/googlelogo_color_92x30dp.png,45,0,0
1680256784767,135,https://www.google.com/search?q=pharmashop&rlz=1C1PNJJ_frTN1050TN1050&sxsrf=APwXEdcSiZBW1PpYTEzwUR_yEox7_u6fbg%3A1680254294624&ei=VqUmZILfJemrkdUP7PyLkAk&oq=pha&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAxgAMgQIIxAnMgoIABCKBRCxAxBDMg0IABCKBRCxAxDJAxBDMggIABCABBCSAzIICAAQgAQQkgMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwgAEIoFEEMyBwguEIoFEEM6BwgjEOoCECc6DQguEMcBENEDEOoCECc6DwgAEIoFEOoCELQCEEMYAToPCC4QigUQ6gIQtAIQQxgBOgsIABCABBCxAxCDAToICC4QgAQQsQM6CwgAEIoFELEDEIMBSgQIQRgAUABY8N0CYMzpAmgCcAF4AIABYIgBhQKSAQEzmAEAoAEBsAEUwAEB2gEGCAEQARgB&sclient=gws-wiz-serp-2,200,OK,Thread Group 1-1,bin,true,,921,1073,1,1,https://www.google.com/tia/tia.png,135,0,110
1680256785259,3396,https://pharma-shop.tn/,200,OK,Thread Group 1-1,text,false,"The operation lasted too long: It took 3,396 milliseconds, but should not have lasted longer than 2,000 milliseconds.",7795823,66924,1,1,https://pharma-shop.tn/,252,0,126
1680256785259,452,https://pharma-shop.tn/-0,200,OK,Thread Group 1-1,text,true,,380135,494,1,1,https://pharma-shop.tn/,252,0,126
1680256785756,162,https://pharma-shop.tn/-1,200,OK,Thread Group 1-1,bin,true,,6269,520,1,1,https://pharma-shop.tn/img/favicon.ico?1647529441,157,0,83
